frame_start	frame_end	Left-AV	Left-CeM	Left-CL	Left-CM	Left-LD	Left-LGN	Left-LP	Left-L-Sg	Left-MDl	Left-MDm	Left-MGN	Left-MV(Re)	Left-Pf	Left-PuA	Left-PuI	Left-PuL	Left-PuM	Left-VA	Left-VAmc	Left-VLa	Left-VLp	Left-VM	Left-VPL	Right-AV	Right-CeM	Right-CL	Right-CM	Right-LD	Right-LGN	Right-LP	Right-L-Sg	Right-MDl	Right-MDm	Right-MGN	Right-MV(Re)	Right-Pc	Right-Pf	Right-PuA	Right-PuI	Right-PuL	Right-PuM	Right-VA	Right-VAmc	Right-VLa	Right-VLp	Right-VPL
480	600	4354.38272	4447.43619	4678.7867	4681.69502	4368.69353	3443.28255	4399.12723	3721.13254	5756.64215	5004.91378	4143.73167	3588.5239	3983.31972	5347.99343	3847.44408	4083.1179	4314.31806	3743.2502	4044.5202	4283.16875	4382.01697	2753.29712	3644.42655	4399.08753	4481.89973	4271.30636	4505.12187	3808.439	4033.11368	3545.35276	4013.67598	4965.96899	4678.3082	4224.09929	3793.18363	4990.99414	4496.96054	4741.68827	4243.3779	4581.46219	3908.40967	4117.41758	4231.24646	4215.29564	4220.39204	4323.33308
600	900	4259.85025	4237.06526	4292.38452	4355.45358	4084.45451	3639.40852	3961.91212	3809.48297	4906.45323	4638.85283	3864.47564	3146.77084	3854.90018	4558.29724	3767.44227	3500.26898	3909.17667	3686.38309	3912.68243	3593.80132	3597.73725	2298.6582	3309.96077	4069.65	4099.6748	4278.89725	4653.5991	3408.64469	3946.5839	3398.10325	3752.77715	4716.80123	4594.34298	4103.36821	3618.17559	5040.40918	4307.29992	4265.25678	3767.70202	3841.02541	3585.63748	3902.69195	3926.28135	4119.13444	4103.54513	4074.11804
900	1200	3690.07938	3987.23252	3508.85958	4101.05093	2902.50357	3005.73832	3036.70489	3125.98691	4101.07648	3878.55301	3742.35094	3482.19608	3616.439	3772.19708	3258.28208	3198.68274	3218.93345	3402.61008	3856.54083	3455.61774	3460.92593	2152.45801	3313.24059	3460.82404	3973.86193	3874.89861	4405.63234	2866.17394	3340.45694	3035.42797	3514.47144	4545.30553	4306.74457	3961.48806	3646.49375	4262.91602	4166.8412	4057.4463	3347.01727	3618.83216	3357.66406	3426.70574	3962.80771	3598.14762	3779.26941	3800.2177
1200	1500	3013.55274	3455.85543	3398.02018	3479.44382	2961.47498	2878.27024	2681.63634	3220.01489	3970.72214	3704.81858	3539.78594	3161.1062	3316.16725	3329.78325	2898.44954	2635.26099	2927.41437	2735.83368	3246.6792	2958.4012	2982.3886	1907.66455	2616.87384	3230.97987	3548.22151	3546.74177	3567.95033	3095.01162	2981.41081	3052.86709	3112.50086	3893.11556	3654.8525	3424.24859	3504.60859	4372.49414	3707.14525	3195.79868	2908.17859	2928.58691	2401.79591	3063.1187	3490.78127	3274.43095	3268.73034	3176.11976
1500	1800	2870.2499	3134.75833	2739.7937	3167.45644	2354.85738	2755.10494	2170.18481	2753.2439	3338.9898	3106.86115	2922.98856	2702.97806	2567.00061	2819.43786	2595.67901	2564.70757	2530.55009	2770.9633	2917.41241	2765.19746	2592.84664	1696.5976	2355.20353	2710.62469	3212.54382	2927.35439	3522.99643	2207.95044	2921.38842	2141.85273	2544.43944	3228.39896	3191.61168	2901.66067	2901.44028	3094.01587	3160.90209	2956.73843	2540.50901	2538.81255	2493.74984	2892.45955	3142.89893	2762.38713	2851.93581	2794.48521
1800	2100	2587.35827	2929.8378	2931.74333	2792.58517	1762.9782	2323.02129	2072.20553	2136.00659	2956.94024	2853.81753	2568.69725	2806.59229	2510.5902	2717.30227	2105.46388	2228.95677	2264.43516	2510.94246	2937.46655	2558.29681	2478.19327	1669.66876	2192.53128	2626.12266	3159.89267	2533.37793	2816.76894	1969.77424	2620.41411	1932.03047	2316.21453	2899.50756	2869.6541	2969.1096	3034.56016	3044.8064	2920.22907	2431.20933	2165.24789	2399.22839	2018.74984	2743.03226	3363.95347	2597.05362	2462.97774	2466.80228
2100	2400	2337.60739	2807.44226	2451.16064	2590.83329	2153.40166	2257.33346	1995.84515	1860.51308	2548.30185	2602.39212	2399.18879	2627.39215	2393.48	2118.45647	2021.80445	1824.79507	1960.61817	2281.06086	2657.30334	2123.71024	2176.55577	1506.04761	2052.70652	2172.32749	2793.91069	2514.70609	2838.57965	2128.09001	2633.41412	2035.05822	2078.5584	2675.92218	2588.98056	2714.96685	2928.71592	2778.44287	2901.85315	2339.0214	2194.21417	2035.13976	1923.98401	2182.94217	2868.67681	2267.35799	2332.72365	2440.23774
2400	2700	2096.47904	2572.92249	2204.65666	2296.75192	1833.01147	2065.46046	1807.05224	2162.12991	2384.33921	2341.94538	2161.9794	2625.21399	2057.06293	2172.4993	1990.03817	1769.22798	1914.44472	2060.23508	2712.24756	2037.29008	1970.39626	1314.09369	1858.01296	2059.1804	2226.159	2277.52068	2398.54174	1908.1463	1877.42913	1775.73899	2077.79692	2377.95435	2328.60792	2210.49139	2335.96973	2130.09619	2487.14743	1918.10219	1721.79882	1892.04776	1700.62615	2037.7068	2260.96777	2067.16269	2063.52378	1925.9239
2700	3000	2115.67601	2156.08247	2170.60173	2099.11659	1429.44719	1982.01975	1486.23473	1839.62862	2052.6258	2044.08852	2207.29747	2114.68509	1948.33151	1816.21922	1714.73492	1487.60252	1595.65231	2117.95603	2266.70862	2038.8317	1828.23241	1255.72742	1749.33868	2032.19095	2307.5488	1990.21531	2168.44872	1570.1591	1870.00805	1494.69414	1810.80652	2094.62388	2184.014	1876.56885	2199.97762	2304.05688	2551.62777	1544.70703	1727.59685	1650.64497	1558.08386	2077.17908	2304.63854	2119.01146	1919.91809	1787.12394
3000	3300	1858.31026	2240.9699	1802.42678	1903.25756	1674.63653	1939.57531	1616.31976	1615.77605	1961.28464	2075.51717	2050.87581	2148.47028	1933.95632	1740.53576	1635.97095	1470.82539	1595.99732	1803.02192	2250.82916	1664.81813	1649.0175	1420.62799	1641.26321	1941.73722	2152.41153	1925.05922	2125.13342	1598.4457	2007.3821	1478.06267	1793.67331	2153.35326	2227.85803	2373.10233	2250.35007	2021.61853	2494.73069	1890.20632	1750.45416	1681.61904	1621.54937	1989.61937	2182.51196	1947.31534	1790.52961	1762.62903
3300	3600	1889.90709	1839.41932	1685.92887	1756.45791	1553.53054	1548.95425	1539.49501	1459.2728	1883.21239	1808.62757	1804.28777	1971.53062	1625.13914	1555.70979	1515.87561	1455.21466	1549.05633	1723.39471	1824.31992	1729.31753	1591.59602	1273.08838	1516.08477	1873.41341	2048.52666	1621.51758	1707.25594	1433.81192	1716.93134	1442.35034	1680.4894	1743.39718	1824.05951	1729.74182	2209.87975	1793.88367	1898.98764	1573.45427	1359.41846	1678.69207	1435.0705	1890.60944	2055.84562	1926.24645	1698.40399	1658.30736
3600	3900	1700.39392	1828.79911	1555.09743	1484.05368	1487.5806	1569.2412	1398.05026	1169.73201	1649.46977	1645.25002	1678.32253	1814.50357	1650.429	1549.2922	1351.2489	1304.71335	1345.32151	1648.07864	1830.7518	1540.48756	1487.52536	1432.44214	1493.2782	1870.64684	2160.21816	1611.00903	1976.79029	1432.22099	1686.7913	1241.07041	1659.55478	1877.45018	1857.09164	1643.237	1929.30274	2527.0813	1986.54375	1441.20757	1463.78211	1470.28288	1343.62036	1965.37599	2110.97413	1906.29315	1683.47892	1597.18788
3900	4200	1500.60169	1418.38235	1659.97359	1693.15815	1315.64114	1593.99836	1187.51765	1252.31937	1450.36976	1428.41656	1641.70514	1278.2399	1723.84408	1336.92353	1319.58912	1393.52447	1200.10141	1426.51601	1300.45398	1404.50144	1419.69018	1402.01147	1410.23296	1717.88045	1596.69848	1607.759	1818.99162	1409.09127	1686.88706	1411.35265	1400.53192	1416.12175	1504.43777	1923.37237	1511.71002	1355.06738	1754.45655	1560.07339	1339.32682	1422.83966	1353.98936	1783.69421	1589.20248	1484.56824	1467.4525	1572.75177
4200	4500	1872.49169	1809.1623	1493.95207	1645.47056	1288.69269	1366.0698	1228.75829	1123.25504	1636.62378	1592.71203	1447.66406	1504.52727	1714.34686	1414.3391	1229.75716	1176.58793	1322.15515	1632.58094	1762.59689	1617.2394	1474.98504	1193.77429	1315.76601	1611.02584	1517.81347	1357.98786	1635.89591	1004.74026	1421.18517	1137.3905	1578.88797	1451.45044	1470.92347	1946.26943	1469.96157	1530.55444	1856.85164	1375.61759	1337.70418	1279.27009	1241.55667	1734.57089	1384.84141	1532.56894	1329.9101	1427.81063
4500	4800	1448.69279	1693.35607	1167.67889	1349.43481	1103.72654	1397.47323	1156.77058	1327.70862	1361.27523	1429.64321	1709.47916	1527.4601	1183.51678	1344.47235	1137.23762	1202.48744	1224.48605	1500.33352	1633.73553	1349.52133	1251.80282	1137.33258	1221.24538	1330.55936	1695.21329	1491.84642	1563.28351	1169.63137	1535.11925	1273.2747	1344.37822	1593.57992	1567.95194	1512.76861	1560.99127	1905.90137	1650.62296	1428.51683	1206.30498	1369.30942	1276.33599	1414.85849	1617.35396	1492.09142	1599.80849	1555.42325
4800	5100	1714.27766	1454.35975	1466.34908	1261.71827	1204.8572	1553.11431	1034.14618	1386.02397	1425.02673	1369.68353	1521.77257	1435.70114	1277.73835	1369.28241	1185.35337	1398.2529	1221.44553	1671.65049	1376.34088	1291.40705	1215.38834	1251.32184	1330.63182	1758.25551	1549.70855	1460.31953	1600.72007	1477.79256	1413.73365	1129.59045	1189.20569	1279.15492	1354.39862	1501.58969	1539.23568	1183.77515	1741.74571	1260.95086	1065.4234	1247.0499	1192.33715	1502.23408	1425.6691	1240.24654	1294.8846	1304.97732
5100	5400	1237.47023	1182.18938	1357.39825	1649.40862	1422.22506	1276.6353	1043.98967	1114.32351	1289.42664	1267.42967	1394.34373	1446.20108	1491.96939	1311.49978	1240.53686	1243.06112	1130.89931	1297.73816	1260.28885	1323.59587	1261.0913	870.63589	1252.51738	1345.92857	1469.31959	1301.69613	1518.61932	1120.24871	1408.93945	1001.09655	1088.63545	1394.43543	1276.1189	1482.06534	1723.20201	1549.81189	1727.13903	1236.70571	1105.1358	1031.25147	1121.99484	1543.5907	1591.66832	1575.18882	1486.7839	1258.71978
5400	5700	1400.8647	1418.43675	1139.95266	1194.00757	1087.60655	1608.45717	1082.78562	1067.20997	1285.55368	1235.36957	1709.06863	1433.7516	1001.46902	1144.24188	1102.15743	880.02322	1013.84651	1478.81197	1388.77728	1450.42747	1324.55725	1362.10004	1194.38833	1529.78945	1363.69807	1437.53287	1546.64003	1308.14103	1577.45762	1250.58432	1286.67396	1353.04852	1356.17698	1599.69201	1477.27143	1185.14868	1772.32913	1426.78142	1317.66399	1311.59639	1156.76029	1349.09949	1308.08199	1250.34492	1236.18469	1374.37855
5700	6000	1188.79014	1368.21583	1307.41408	1396.52803	1053.33213	1169.32915	969.12666	1211.21568	1417.05137	1358.17104	1349.46594	1466.87828	1176.52399	1168.31905	1066.75153	995.41477	1082.39887	1193.32481	1352.18799	1322.18733	1314.83238	1163.83221	1155.96708	1188.03109	1306.32232	1469.23366	1331.5707	1288.36008	1454.79087	1343.28751	1037.59401	1389.39199	1331.54098	1465.83524	1409.05463	1314.51685	1395.15067	1241.98706	1282.02329	1079.37626	1201.83346	1155.64588	1321.44512	1146.23778	1215.85648	1160.91127
6000	6300	1264.06637	1276.73659	1120.3525	1338.10056	1027.37336	1301.56115	1181.82532	1127.68381	1344.37061	1402.34766	1224.8977	1340.98375	1174.51407	1159.94182	1041.98451	1253.07631	1217.27966	1173.79629	1229.71683	1283.34692	1144.10434	997.2114	1099.27532	1350.94022	1547.50824	1192.11043	1434.14809	1065.5087	1222.88735	1033.81894	1087.83112	1391.19841	1390.02598	1225.26941	1901.12309	1317.52441	1322.96976	1189.51671	999.101	1102.03891	993.55708	1331.87326	1712.37889	1273.24305	1267.89283	1256.95476
6300	6600	1302.13476	1343.61426	1205.71678	1162.99577	967.87908	1244.25683	873.56387	1038.957	1297.6142	1311.63267	1331.05199	1221.1331	1202.48342	1062.18007	1213.85178	1083.85718	1154.0701	1268.58854	1471.88519	1316.27342	1223.33163	1250.39258	1005.96504	1561.77452	1326.48759	1408.52483	1293.88785	1313.93088	1532.55114	1102.98459	1116.31778	1340.85435	1473.28034	1205.51374	1235.58478	1469.17017	1482.20611	1046.85207	1109.16346	1127.67186	1131.93028	1505.92268	1266.07146	1197.10094	1129.32583	1102.30436
6600	6900	1201.1853	1356.90971	1104.71259	1172.35113	1034.88413	1190.10168	778.825	804.29444	1033.97612	1104.89329	959.90114	1357.72063	1201.28966	854.05922	883.61875	955.68381	952.97598	1261.94419	1451.5452	1179.52592	1146.88428	1259.72906	1118.37603	1251.19566	1335.15136	1080.90943	1107.62572	955.09177	1217.90087	976.29402	1116.58132	1305.13099	1241.46611	1097.45494	1209.79438	1459.95703	1030.04678	1014.53272	902.43343	1172.31194	908.61991	1345.40664	1450.87699	1392.20537	1312.37121	1094.82016
6900	7200	1230.16443	1077.68704	1089.73319	1004.37415	1100.69363	1275.50456	940.57189	863.54899	972.64213	1111.49663	1182.67761	1416.40337	1260.98687	1006.54363	1161.56209	1042.68613	1026.4231	1040.08368	1030.21507	989.99152	1046.89933	1107.96637	1112.60907	1543.89914	1500.42233	1045.59494	1251.69229	1015.37477	1342.6296	861.20419	1325.67082	1204.55838	1243.30439	1392.8707	1518.58463	1492.98328	1513.99485	994.25694	1070.4612	1257.83497	1043.62875	1445.67606	1478.4726	1123.91311	1047.77106	1057.4516
